name,smi,success
36Z,COC(=O)c1cc(N)cc(-c2c(C)noc2C)c1,1
37N,Cc1noc(C)c1-c1cc(NS(=O)(=O)c2ccccc2)cc(C(=O)O)c1,1
38E,CC1=N/C(=C\c2cc(F)c(O)c(F)c2)C(=O)N1C,1
38G,COc1cc(-c2ccc3ncc(-c4cccc(C(O)NCCN(C)C)c4)n3n2)ccc1O,1
38O,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,1
38S,Cc1cn(C2CCC(CO)O2)c(=O)[nH]c1=O,1
38T,Cc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O,1
38Y,CCOc1ccc(Br)c(C(CN)OB2OC3C(COP(=O)(O)O)OC(n4cnc5c(N)ncnc54)C3O2)c1,1
39O,Cc1cc2c(cc1N)n(C)c(=O)n2C,1
39R,Nc1cccc(-c2nnc(-c3ccccc3)[nH]2)c1,1
39U,CC1(C)CNC(=O)c2sc(N)nc2C1,1
3A8,O=C1NC(c2ccc(O)cc2)c2c(-c3ccccc3)n[nH]c21,1
3B4,O=C(O)c1ccccc1NC1CCCCC1,1
3C0,C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1
3C1,CCN1CNS(=O)(=O)c2cnccc21,1
3C2,CCN1CNS(=O)(=O)c2ncccc21,1
3C4,O=C(O)Cc1ccc(O)c(Cl)c1,1
3C5,CNCc1cccc(-c2cccnc2)c1,1
3D0,CC(=O)NC(CCCCN)C(=O)NC(CNC(C(=O)NC(Cc1ccccc1)C(N)=O)C(C)O)COCc1cccnc1,1
3D2,NCCCCC(NCc1cccc(-c2cccnc2)c1)C(N)=O,1
3D4,CC(O)C(NC(=O)CNC(=O)C(CCCCN)NCc1ccc(-c2cccnc2)cc1)C(O)NC(Cc1ccccc1)C(N)=O,1
3D5,NCCCCC(NCc1ccc(-c2cccnc2)cc1)C(N)=O,1
3D8,c1cncc(Nc2ncnn3cccc23)c1,1
